ID d'incident,Timestamp,Type d'incident,Description,Severité,Statut,Responsable
46,2023-08-23,Mise à jour échouée,connexion au vpn a échoué,Faible,En cours,Equipe Systèmes
47,2023-06-03,Surcharge,carte réseau ne répond plus,Moyenne,En cours,Equipe Sécurité
48,2023-12-21,Intrusion,tentative connexion non autorisée détectée,Critique,En cours,Equipe Systèmes
49,2023-08-27,Intrusion,mise jour firmware a échoué,Critique,En cours,Equipe Réseau
50,2023-08-02,Mise à jour échouée,base données est sous forte charge,Critique,En cours,Equipe Systèmes
51,2023-11-23,Mise à jour échouée,échec mise jour logiciel,Moyenne,Résolu,Equipe Sécurité
52,2023-10-20,Surcharge,mise jour firmware a échoué,Élevée,Résolu,Equipe Réseau
53,2023-08-03,Problème de connexion,impossible dappliquer mise jour sécurité,Critique,En cours,Equipe Sécurité
54,2023-09-16,Intrusion,disque dur est tombé panne,Moyenne,En cours,Equipe Systèmes
55,2023-04-21,Problème de connexion,impossible daccéder internet,Faible,En cours,Equipe Support
56,2023-12-09,Surcharge,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Sécurité
57,2023-08-29,Intrusion,mise jour firmware a échoué,Élevée,Résolu,Equipe Réseau
58,2023-04-12,Panne matérielle,serveur principal a cessé fonctionner,Élevée,Ouvert,Equipe Sécurité
59,2023-11-27,Intrusion,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Réseau
60,2023-08-13,Problème de connexion,impossible dappliquer mise jour sécurité,Moyenne,Ouvert,Equipe Systèmes
61,2023-06-19,Problème de connexion,carte réseau ne répond plus,Critique,En cours,Equipe Systèmes
62,2023-04-15,Panne matérielle,malware a été trouvé sur serveur,Critique,En cours,Equipe Réseau
63,2023-08-08,Panne matérielle,serveur principal a cessé fonctionner,Critique,Ouvert,Equipe Sécurité
64,2023-02-17,Problème de connexion,accès suspects ont été détectés,Élevée,Ouvert,Equipe Réseau
65,2023-06-11,Intrusion,base données est sous forte charge,Élevée,Résolu,Equipe Support
66,2023-10-23,Panne matérielle,base données est sous forte charge,Élevée,En cours,Equipe Support
67,2023-10-23,Surcharge,base données est sous forte charge,Élevée,Ouvert,Equipe Systèmes
68,2023-08-21,Surcharge,impossible dappliquer mise jour sécurité,Faible,En cours,Equipe Réseau
69,2023-06-18,Mise à jour échouée,capacité bande passante dépassée,Critique,En cours,Equipe Support
70,2023-11-22,Mise à jour échouée,connexion au vpn a échoué,Moyenne,Résolu,Equipe Sécurité
71,2023-04-27,Intrusion,impossible daccéder internet,Élevée,Résolu,Equipe Support
72,2023-03-03,Surcharge,impossible dappliquer mise jour sécurité,Élevée,En cours,Equipe Systèmes
73,2023-12-21,Surcharge,disque dur est tombé panne,Faible,En cours,Equipe Systèmes
74,2023-09-06,Problème de connexion,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Sécurité
75,2023-12-18,Problème de connexion,impossible daccéder internet,Moyenne,Résolu,Equipe Réseau
76,2023-03-21,Panne matérielle,impossible daccéder internet,Critique,Résolu,Equipe Sécurité
77,2023-07-26,Mise à jour échouée,serveur principal a cessé fonctionner,Moyenne,Ouvert,Equipe Systèmes
78,2023-12-19,Mise à jour échouée,malware a été trouvé sur serveur,Élevée,Ouvert,Equipe Systèmes
79,2023-03-28,Mise à jour échouée,base données est sous forte charge,Moyenne,Ouvert,Equipe Réseau
80,2023-08-01,Mise à jour échouée,capacité bande passante dépassée,Moyenne,Résolu,Equipe Réseau
81,2023-08-15,Problème de connexion,connexion au vpn a échoué,Moyenne,Résolu,Equipe Sécurité
82,2023-04-28,Surcharge,impossible daccéder internet,Critique,Résolu,Equipe Support
83,2023-04-26,Mise à jour échouée,carte réseau ne répond plus,Faible,En cours,Equipe Réseau
84,2023-05-21,Panne matérielle,malware a été trouvé sur serveur,Moyenne,Résolu,Equipe Sécurité
85,2023-07-31,Intrusion,malware a été trouvé sur serveur,Critique,Ouvert,Equipe Systèmes
86,2023-11-03,Problème de connexion,impossible daccéder internet,Faible,En cours,Equipe Sécurité
87,2023-12-18,Problème de connexion,mise jour firmware a échoué,Critique,En cours,Equipe Support
88,2023-09-26,Panne matérielle,malware a été trouvé sur serveur,Moyenne,Résolu,Equipe Support
89,2023-03-06,Panne matérielle,impossible dappliquer mise jour sécurité,Faible,En cours,Equipe Sécurité
90,2023-03-27,Panne matérielle,serveur web est surchargé,Élevée,Résolu,Equipe Réseau
91,2023-10-16,Intrusion,capacité bande passante dépassée,Critique,Ouvert,Equipe Support
92,2023-12-06,Panne matérielle,disque dur est tombé panne,Faible,En cours,Equipe Support
93,2023-06-22,Intrusion,connexion au vpn a échoué,Faible,Résolu,Equipe Réseau
94,2023-01-31,Panne matérielle,disque dur est tombé panne,Faible,Ouvert,Equipe Support
95,2023-03-03,Intrusion,connexion intermittente détectée,Faible,En cours,Equipe Sécurité
96,2023-05-10,Surcharge,accès suspects ont été détectés,Faible,Ouvert,Equipe Support
97,2023-07-26,Surcharge,disque dur est tombé panne,Faible,En cours,Equipe Support
98,2023-10-04,Intrusion,serveur web est surchargé,Critique,En cours,Equipe Sécurité
99,2023-06-16,Problème de connexion,impossible daccéder internet,Élevée,Ouvert,Equipe Sécurité
100,2023-04-24,Intrusion,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Réseau
101,2023-08-30,Problème de connexion,accès suspects ont été détectés,Élevée,En cours,Equipe Systèmes
102,2023-10-17,Mise à jour échouée,carte réseau ne répond plus,Faible,En cours,Equipe Réseau
103,2023-01-30,Panne matérielle,serveur principal a cessé fonctionner,Élevée,En cours,Equipe Systèmes
104,2023-06-18,Surcharge,serveur web est surchargé,Faible,Ouvert,Equipe Support
105,2023-07-19,Surcharge,tentative connexion non autorisée détectée,Faible,Résolu,Equipe Réseau
106,2023-06-16,Panne matérielle,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Sécurité
107,2023-07-01,Surcharge,carte réseau ne répond plus,Faible,En cours,Equipe Support
108,2023-05-08,Mise à jour échouée,carte réseau ne répond plus,Faible,En cours,Equipe Sécurité
109,2023-05-30,Mise à jour échouée,impossible dappliquer mise jour sécurité,Critique,En cours,Equipe Systèmes
110,2023-05-09,Intrusion,malware a été trouvé sur serveur,Faible,Résolu,Equipe Sécurité
111,2023-04-02,Problème de connexion,disque dur est tombé panne,Critique,En cours,Equipe Sécurité
112,2023-01-10,Mise à jour échouée,tentative connexion non autorisée détectée,Moyenne,Ouvert,Equipe Réseau
113,2023-10-16,Panne matérielle,connexion intermittente détectée,Faible,Résolu,Equipe Réseau
114,2023-03-23,Problème de connexion,accès suspects ont été détectés,Faible,Ouvert,Equipe Réseau
115,2023-04-17,Panne matérielle,mise jour firmware a échoué,Critique,Résolu,Equipe Réseau
116,2023-08-15,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Support
117,2023-12-06,Intrusion,base données est sous forte charge,Faible,En cours,Equipe Sécurité
118,2023-10-23,Mise à jour échouée,malware a été trouvé sur serveur,Faible,Résolu,Equipe Sécurité
119,2023-08-27,Mise à jour échouée,base données est sous forte charge,Faible,Résolu,Equipe Support
120,2023-07-12,Surcharge,accès suspects ont été détectés,Élevée,En cours,Equipe Sécurité
121,2023-10-21,Mise à jour échouée,accès suspects ont été détectés,Critique,Ouvert,Equipe Réseau
122,2023-09-15,Panne matérielle,mise jour firmware a échoué,Moyenne,Résolu,Equipe Support
123,2023-05-02,Problème de connexion,base données est sous forte charge,Faible,En cours,Equipe Sécurité
124,2023-06-11,Intrusion,disque dur est tombé panne,Élevée,Ouvert,Equipe Systèmes
125,2023-01-20,Problème de connexion,disque dur est tombé panne,Faible,Résolu,Equipe Systèmes
126,2023-04-23,Intrusion,connexion au vpn a échoué,Faible,En cours,Equipe Réseau
127,2023-12-09,Panne matérielle,serveur principal a cessé fonctionner,Critique,En cours,Equipe Support
128,2023-10-27,Intrusion,disque dur est tombé panne,Moyenne,Résolu,Equipe Sécurité
129,2023-09-30,Mise à jour échouée,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Réseau
130,2023-06-17,Surcharge,connexion au vpn a échoué,Élevée,Résolu,Equipe Réseau
131,2023-03-15,Mise à jour échouée,mise jour firmware a échoué,Faible,En cours,Equipe Sécurité
132,2023-03-25,Panne matérielle,serveur principal a cessé fonctionner,Élevée,En cours,Equipe Réseau
133,2023-06-10,Problème de connexion,connexion intermittente détectée,Critique,En cours,Equipe Systèmes
134,2023-11-10,Surcharge,tentative connexion non autorisée détectée,Faible,Ouvert,Equipe Systèmes
135,2023-07-02,Intrusion,malware a été trouvé sur serveur,Critique,En cours,Equipe Systèmes
136,2023-04-30,Intrusion,accès suspects ont été détectés,Moyenne,Résolu,Equipe Systèmes
137,2023-06-25,Problème de connexion,impossible dappliquer mise jour sécurité,Faible,En cours,Equipe Réseau
138,2023-04-13,Problème de connexion,connexion intermittente détectée,Faible,En cours,Equipe Support
139,2023-05-22,Problème de connexion,connexion au vpn a échoué,Moyenne,Résolu,Equipe Support
140,2023-06-06,Panne matérielle,base données est sous forte charge,Faible,Résolu,Equipe Systèmes
141,2023-02-27,Panne matérielle,mise jour firmware a échoué,Élevée,Ouvert,Equipe Réseau
142,2023-02-09,Surcharge,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Systèmes
143,2023-05-19,Intrusion,impossible dappliquer mise jour sécurité,Moyenne,En cours,Equipe Sécurité
144,2023-06-12,Intrusion,tentative connexion non autorisée détectée,Élevée,Ouvert,Equipe Réseau
145,2023-05-03,Surcharge,capacité bande passante dépassée,Faible,Résolu,Equipe Sécurité
146,2023-01-31,Problème de connexion,échec mise jour logiciel,Élevée,En cours,Equipe Sécurité
147,2023-06-28,Intrusion,serveur web est surchargé,Critique,Ouvert,Equipe Systèmes
148,2023-11-18,Intrusion,accès suspects ont été détectés,Élevée,Résolu,Equipe Réseau
149,2023-07-13,Intrusion,connexion au vpn a échoué,Élevée,En cours,Equipe Systèmes
150,2023-06-03,Surcharge,disque dur est tombé panne,Moyenne,En cours,Equipe Réseau
151,2023-12-31,Intrusion,serveur principal a cessé fonctionner,Moyenne,Résolu,Equipe Réseau
152,2023-08-24,Mise à jour échouée,serveur web est surchargé,Élevée,En cours,Equipe Support
153,2023-05-18,Surcharge,impossible dappliquer mise jour sécurité,Moyenne,En cours,Equipe Support
154,2023-09-03,Intrusion,accès suspects ont été détectés,Faible,Ouvert,Equipe Systèmes
155,2023-02-27,Surcharge,échec mise jour logiciel,Élevée,Résolu,Equipe Systèmes
156,2023-03-16,Problème de connexion,capacité bande passante dépassée,Moyenne,Ouvert,Equipe Sécurité
157,2023-03-03,Intrusion,serveur principal a cessé fonctionner,Élevée,Résolu,Equipe Réseau
158,2023-12-18,Surcharge,impossible daccéder internet,Critique,Résolu,Equipe Réseau
159,2023-05-21,Surcharge,capacité bande passante dépassée,Moyenne,Ouvert,Equipe Support
160,2023-09-15,Surcharge,connexion au vpn a échoué,Faible,Résolu,Equipe Systèmes
161,2023-07-17,Problème de connexion,capacité bande passante dépassée,Faible,En cours,Equipe Systèmes
162,2023-05-21,Surcharge,disque dur est tombé panne,Faible,Résolu,Equipe Sécurité
163,2023-09-15,Intrusion,disque dur est tombé panne,Moyenne,Ouvert,Equipe Sécurité
164,2023-11-27,Intrusion,échec mise jour logiciel,Faible,Résolu,Equipe Réseau
165,2023-05-16,Problème de connexion,disque dur est tombé panne,Faible,En cours,Equipe Réseau
166,2023-08-06,Panne matérielle,connexion au vpn a échoué,Faible,En cours,Equipe Systèmes
167,2023-06-10,Panne matérielle,serveur web est surchargé,Critique,En cours,Equipe Sécurité
168,2023-09-30,Problème de connexion,capacité bande passante dépassée,Élevée,Résolu,Equipe Réseau
169,2023-12-30,Panne matérielle,capacité bande passante dépassée,Moyenne,Résolu,Equipe Systèmes
170,2023-02-15,Surcharge,disque dur est tombé panne,Moyenne,En cours,Equipe Systèmes
171,2023-03-02,Surcharge,tentative connexion non autorisée détectée,Moyenne,En cours,Equipe Support
172,2023-07-24,Panne matérielle,capacité bande passante dépassée,Faible,Résolu,Equipe Sécurité
173,2023-10-07,Surcharge,disque dur est tombé panne,Moyenne,En cours,Equipe Réseau
174,2023-03-27,Problème de connexion,tentative connexion non autorisée détectée,Faible,Résolu,Equipe Réseau
175,2023-06-03,Problème de connexion,serveur principal a cessé fonctionner,Critique,En cours,Equipe Réseau
176,2023-06-24,Surcharge,mise jour firmware a échoué,Élevée,Ouvert,Equipe Support
177,2023-02-24,Mise à jour échouée,impossible daccéder internet,Moyenne,Résolu,Equipe Sécurité
178,2023-06-07,Surcharge,capacité bande passante dépassée,Moyenne,En cours,Equipe Sécurité
179,2023-06-08,Surcharge,impossible daccéder internet,Faible,En cours,Equipe Systèmes
180,2023-04-04,Panne matérielle,connexion au vpn a échoué,Faible,Résolu,Equipe Systèmes
181,2023-02-20,Intrusion,disque dur est tombé panne,Moyenne,Ouvert,Equipe Systèmes
182,2023-06-25,Problème de connexion,malware a été trouvé sur serveur,Élevée,En cours,Equipe Systèmes
183,2023-11-16,Panne matérielle,capacité bande passante dépassée,Élevée,En cours,Equipe Systèmes
184,2023-10-23,Intrusion,disque dur est tombé panne,Faible,Ouvert,Equipe Support
185,2023-08-18,Surcharge,accès suspects ont été détectés,Élevée,En cours,Equipe Réseau
186,2023-02-24,Panne matérielle,carte réseau ne répond plus,Faible,Ouvert,Equipe Support
187,2023-08-07,Surcharge,accès suspects ont été détectés,Moyenne,En cours,Equipe Support
188,2023-12-21,Problème de connexion,base données est sous forte charge,Élevée,Ouvert,Equipe Réseau
189,2023-11-03,Surcharge,mise jour firmware a échoué,Faible,En cours,Equipe Systèmes
190,2023-07-25,Problème de connexion,carte réseau ne répond plus,Élevée,En cours,Equipe Systèmes
191,2023-04-01,Problème de connexion,base données est sous forte charge,Faible,En cours,Equipe Support
192,2023-02-09,Panne matérielle,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Systèmes
193,2023-10-13,Problème de connexion,capacité bande passante dépassée,Faible,Résolu,Equipe Systèmes
194,2023-12-09,Problème de connexion,carte réseau ne répond plus,Élevée,En cours,Equipe Systèmes
195,2023-07-27,Surcharge,impossible dappliquer mise jour sécurité,Élevée,Ouvert,Equipe Systèmes
196,2023-07-26,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Systèmes
197,2023-10-29,Surcharge,connexion intermittente détectée,Critique,Ouvert,Equipe Sécurité
198,2023-07-24,Mise à jour échouée,serveur principal a cessé fonctionner,Faible,Ouvert,Equipe Réseau
199,2023-03-20,Panne matérielle,base données est sous forte charge,Moyenne,En cours,Equipe Sécurité
200,2023-12-23,Mise à jour échouée,connexion au vpn a échoué,Faible,En cours,Equipe Systèmes
201,2023-08-03,Mise à jour échouée,serveur principal a cessé fonctionner,Critique,Ouvert,Equipe Réseau
202,2023-02-19,Problème de connexion,connexion intermittente détectée,Élevée,Ouvert,Equipe Systèmes
203,2023-02-07,Panne matérielle,connexion intermittente détectée,Critique,Ouvert,Equipe Systèmes
204,2023-02-03,Surcharge,connexion au vpn a échoué,Critique,Résolu,Equipe Réseau
205,2023-09-22,Surcharge,malware a été trouvé sur serveur,Faible,En cours,Equipe Systèmes
206,2023-11-29,Problème de connexion,impossible daccéder internet,Critique,En cours,Equipe Sécurité
207,2023-01-05,Surcharge,malware a été trouvé sur serveur,Moyenne,Ouvert,Equipe Systèmes
208,2023-02-18,Intrusion,disque dur est tombé panne,Élevée,Résolu,Equipe Support
209,2023-08-29,Panne matérielle,tentative connexion non autorisée détectée,Élevée,Ouvert,Equipe Support
210,2023-05-17,Intrusion,base données est sous forte charge,Critique,Ouvert,Equipe Support
211,2023-10-26,Problème de connexion,connexion intermittente détectée,Moyenne,Ouvert,Equipe Systèmes
212,2023-12-31,Intrusion,impossible daccéder internet,Élevée,Résolu,Equipe Systèmes
213,2023-11-04,Intrusion,carte réseau ne répond plus,Faible,En cours,Equipe Support
214,2023-05-09,Panne matérielle,serveur web est surchargé,Moyenne,Résolu,Equipe Réseau
215,2023-10-18,Intrusion,mise jour firmware a échoué,Moyenne,Résolu,Equipe Support
216,2023-05-04,Problème de connexion,capacité bande passante dépassée,Critique,Ouvert,Equipe Support
217,2023-11-07,Problème de connexion,carte réseau ne répond plus,Élevée,En cours,Equipe Support
218,2023-07-19,Surcharge,impossible dappliquer mise jour sécurité,Faible,Ouvert,Equipe Sécurité
219,2023-05-03,Intrusion,serveur web est surchargé,Élevée,Résolu,Equipe Réseau
220,2023-05-14,Surcharge,capacité bande passante dépassée,Critique,En cours,Equipe Réseau
221,2023-03-30,Panne matérielle,capacité bande passante dépassée,Faible,En cours,Equipe Systèmes
222,2023-06-11,Problème de connexion,base données est sous forte charge,Moyenne,Résolu,Equipe Sécurité
223,2023-04-21,Mise à jour échouée,base données est sous forte charge,Critique,Résolu,Equipe Systèmes
224,2023-04-16,Panne matérielle,connexion au vpn a échoué,Moyenne,En cours,Equipe Sécurité
225,2023-02-26,Surcharge,échec mise jour logiciel,Moyenne,Résolu,Equipe Réseau
226,2023-04-15,Intrusion,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Support
227,2023-05-22,Problème de connexion,disque dur est tombé panne,Critique,Ouvert,Equipe Sécurité
228,2023-10-04,Surcharge,serveur principal a cessé fonctionner,Élevée,Ouvert,Equipe Réseau
229,2023-06-13,Surcharge,capacité bande passante dépassée,Faible,En cours,Equipe Support
230,2023-05-06,Panne matérielle,malware a été trouvé sur serveur,Moyenne,En cours,Equipe Sécurité
231,2023-08-01,Mise à jour échouée,impossible dappliquer mise jour sécurité,Moyenne,En cours,Equipe Support
232,2023-10-14,Intrusion,tentative connexion non autorisée détectée,Faible,Ouvert,Equipe Support
233,2023-08-16,Intrusion,malware a été trouvé sur serveur,Élevée,En cours,Equipe Sécurité
234,2023-12-03,Surcharge,capacité bande passante dépassée,Élevée,En cours,Equipe Systèmes
235,2023-03-23,Mise à jour échouée,échec mise jour logiciel,Moyenne,Ouvert,Equipe Systèmes
236,2023-06-01,Mise à jour échouée,accès suspects ont été détectés,Moyenne,Ouvert,Equipe Support
237,2023-04-15,Panne matérielle,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Sécurité
238,2023-09-28,Mise à jour échouée,impossible dappliquer mise jour sécurité,Faible,En cours,Equipe Sécurité
239,2023-03-21,Mise à jour échouée,carte réseau ne répond plus,Élevée,Ouvert,Equipe Réseau
240,2023-12-16,Intrusion,connexion au vpn a échoué,Moyenne,Ouvert,Equipe Sécurité
241,2023-11-22,Mise à jour échouée,disque dur est tombé panne,Élevée,En cours,Equipe Support
242,2023-10-20,Problème de connexion,capacité bande passante dépassée,Faible,En cours,Equipe Support
243,2023-09-18,Intrusion,serveur web est surchargé,Faible,En cours,Equipe Systèmes
244,2023-05-22,Panne matérielle,base données est sous forte charge,Critique,Ouvert,Equipe Support
245,2023-02-07,Surcharge,serveur principal a cessé fonctionner,Moyenne,Résolu,Equipe Sécurité
246,2023-04-06,Problème de connexion,serveur principal a cessé fonctionner,Élevée,En cours,Equipe Sécurité
247,2023-11-19,Mise à jour échouée,capacité bande passante dépassée,Critique,En cours,Equipe Réseau
248,2023-04-20,Panne matérielle,capacité bande passante dépassée,Élevée,Résolu,Equipe Systèmes
249,2023-05-20,Intrusion,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Sécurité
250,2023-12-15,Panne matérielle,serveur web est surchargé,Élevée,Ouvert,Equipe Systèmes
251,2023-10-26,Intrusion,capacité bande passante dépassée,Moyenne,Résolu,Equipe Systèmes
252,2023-10-05,Surcharge,mise jour firmware a échoué,Critique,En cours,Equipe Réseau
253,2023-05-04,Panne matérielle,capacité bande passante dépassée,Faible,Ouvert,Equipe Systèmes
254,2023-02-06,Mise à jour échouée,serveur principal a cessé fonctionner,Élevée,En cours,Equipe Sécurité
255,2023-10-05,Surcharge,connexion intermittente détectée,Critique,Ouvert,Equipe Systèmes
256,2023-01-26,Intrusion,base données est sous forte charge,Élevée,En cours,Equipe Sécurité
257,2023-09-16,Mise à jour échouée,malware a été trouvé sur serveur,Critique,En cours,Equipe Réseau
258,2023-06-17,Mise à jour échouée,malware a été trouvé sur serveur,Critique,Résolu,Equipe Sécurité
259,2023-11-30,Intrusion,échec mise jour logiciel,Élevée,Ouvert,Equipe Support
260,2023-02-10,Problème de connexion,malware a été trouvé sur serveur,Élevée,Ouvert,Equipe Sécurité
261,2023-01-01,Mise à jour échouée,serveur web est surchargé,Élevée,En cours,Equipe Support
262,2023-10-21,Panne matérielle,échec mise jour logiciel,Critique,Ouvert,Equipe Réseau
263,2023-12-03,Problème de connexion,connexion au vpn a échoué,Faible,En cours,Equipe Systèmes
264,2023-03-04,Panne matérielle,échec mise jour logiciel,Faible,Ouvert,Equipe Systèmes
265,2023-06-10,Problème de connexion,impossible daccéder internet,Faible,En cours,Equipe Systèmes
266,2023-04-12,Problème de connexion,base données est sous forte charge,Faible,Résolu,Equipe Support
267,2023-09-10,Mise à jour échouée,impossible dappliquer mise jour sécurité,Élevée,En cours,Equipe Sécurité
268,2023-09-21,Problème de connexion,malware a été trouvé sur serveur,Faible,Ouvert,Equipe Systèmes
269,2023-01-07,Mise à jour échouée,connexion au vpn a échoué,Critique,En cours,Equipe Réseau
270,2023-05-09,Surcharge,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Support
271,2023-10-28,Panne matérielle,base données est sous forte charge,Moyenne,Résolu,Equipe Sécurité
272,2023-04-05,Mise à jour échouée,échec mise jour logiciel,Élevée,Ouvert,Equipe Sécurité
273,2023-12-01,Mise à jour échouée,serveur web est surchargé,Élevée,Ouvert,Equipe Systèmes
274,2023-05-06,Surcharge,malware a été trouvé sur serveur,Critique,Résolu,Equipe Sécurité
275,2023-11-03,Mise à jour échouée,impossible dappliquer mise jour sécurité,Faible,Ouvert,Equipe Systèmes
276,2023-01-25,Mise à jour échouée,échec mise jour logiciel,Moyenne,En cours,Equipe Réseau
277,2023-02-20,Surcharge,base données est sous forte charge,Élevée,Résolu,Equipe Réseau
278,2023-01-09,Intrusion,échec mise jour logiciel,Moyenne,En cours,Equipe Sécurité
279,2023-04-18,Problème de connexion,base données est sous forte charge,Faible,En cours,Equipe Réseau
280,2023-01-15,Surcharge,tentative connexion non autorisée détectée,Critique,Ouvert,Equipe Sécurité
281,2023-09-13,Surcharge,serveur principal a cessé fonctionner,Critique,En cours,Equipe Support
282,2023-04-25,Surcharge,serveur web est surchargé,Moyenne,Ouvert,Equipe Réseau
283,2023-07-25,Panne matérielle,serveur principal a cessé fonctionner,Élevée,En cours,Equipe Réseau
284,2023-04-05,Intrusion,tentative connexion non autorisée détectée,Faible,En cours,Equipe Support
285,2023-03-16,Intrusion,carte réseau ne répond plus,Critique,Résolu,Equipe Support
286,2023-06-08,Mise à jour échouée,mise jour firmware a échoué,Élevée,Ouvert,Equipe Réseau
287,2023-09-23,Panne matérielle,accès suspects ont été détectés,Faible,Ouvert,Equipe Sécurité
288,2023-05-04,Intrusion,mise jour firmware a échoué,Élevée,Résolu,Equipe Réseau
289,2023-12-12,Panne matérielle,impossible daccéder internet,Critique,En cours,Equipe Sécurité
290,2023-12-13,Panne matérielle,tentative connexion non autorisée détectée,Faible,Ouvert,Equipe Sécurité
291,2023-07-27,Panne matérielle,serveur principal a cessé fonctionner,Critique,Ouvert,Equipe Sécurité
292,2023-04-09,Mise à jour échouée,capacité bande passante dépassée,Critique,Ouvert,Equipe Support
